From:       Chander et al. 2011
BibSource:  DBLP:conf/icst/ChanderDSY11
Method:     ILP

Property*		Function*	Strength*	Size*	Length	Time
--------------------------------------------------------------------------------   
Editor clipboard	State history	1		1	11	1.655
