From:       Srivastava et al. 2010
BibSource:  none
Method:     Ant Colony

Property*	Function*		Strength*	Size*	Length	Time
--------------------------------------------------------------------------------   
Telephone	State history		1		5	24	-
Telephone	Transition history	1		5	19	-

# NOTE: this was taken from page 23 of the paper, where the
# optimal result is said to be the set of sequences
#
# 0-2-3-7
# 0-1-6-2-3-7
# 0-1-1-0-2-5-7
# 0-2-4-7
# 0-2-7

# :noTabs=false:
